NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,ID,NT_GER,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_0,45.5,M,25,A,B,A,F,D,B,B,C,F,E,A,A,B,A,F,25.0,B,A,B,K,A,B,C,E,C,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_1,47.9,M,25,A,D,A,E,D,B,C,D,E,E,A,A,B,A,E,25.0,B,A,B,C,A,B,C,E,E,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_2,47.1,M,25,A,D,A,E,D,B,C,D,F,E,A,A,B,A,E,25.0,B,A,B,C,A,B,C,E,E,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_3,47.0,M,25,A,B,A,E,D,B,C,D,E,E,A,A,B,A,A,25.0,B,A,B,C,A,B,C,E,E,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_4,46.7,M,25,A,B,A,E,D,B,C,D,E,E,A,A,B,A,A,25.0,B,A,B,C,A,B,C,E,E,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_5,46.3,M,25,A,B,A,E,D,B,B,D,E,E,A,A,B,A,A,25.0,B,A,B,C,A,C,C,E,E,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_6,46.0,M,25,A,B,A,E,D,B,B,C,C,E,A,A,B,A,A,25.0,B,A,B,C,A,B,C,E,E,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_7,45.8,M,25,A,D,A,E,D,B,B,C,C,E,A,A,B,A,E,25.0,B,A,B,C,A,B,C,E,E,F
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_8,44.7,M,25,A,B,A,E,D,B,B,C,C,E,A,A,B,A,A,25.0,B,A,B,C,A,B,C,E,E,C
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_9,48.0,M,25,A,B,A,E,D,B,G,C,C,E,A,A,B,A,A,25.0,B,A,B,C,A,C,C,E,C,F
2023,1127164,579,1,10028,6411,1,2507507,25,2,1127164_10,44.3,M,24,A,F,A,E,D,B,B,E,C,E,A,A,B,A,A,25.0,B,A,B,C,A,C,B,E,C,F
